NumEmployee;Cal_Date;orderid;CDEL_LineNo;codeproduct;CDEL_Quantity;CDEL_UnitPrice;CA_brut;CA_net;CDEL_Discount;CDE_CustomerID;CDE_ShipperID;CDE_Freight;BudgetMontant
1;13/07AA004 00:00:00;10511;1;7;50;42,48;2124;2498,8235469343;0,15000000596046;82;3;30,11;
1;13/07AA004 00:00:00;10511;3;8;10;21,97;219,7;258,47059004777;0,15000000596046;82;3;30,11;
1;13/12AA005 00:00:00;10574;2;40;2;19,29;38,58;38,58;0;82;3;71,84;
1;13/12AA005 00:00:00;10574;1;64;6;35,48;212,88;212,88;0;82;3;71,84;
1;13/12AA005 00:00:00;10574;3;33;14;27,65;387,1;387,1;0;82;3;71,84;
1;13/12AA005 00:00:00;10574;4;62;10;30,03;300,3;300,3;0;82;3;71,84;
1;14/07AA006 00:00:00;14217;2;28;3;54,812577065491;164,43773119647;164,43773119647;0;32;4;38,056052031091;
1;14/07AA006 00:00:00;14217;1;21;19;12,542895865922;238,31502145252;238,31502145252;0;32;4;38,056052031091;
1;19/07AA005 00:00:00;11238;2;20;34;86,057333209934;2925,9493291377;2925,9493291377;0;82;5;40,28611422362;
1;19/07AA005 00:00:00;11238;1;75;43;7,2048454590164;309,8083547377;309,8083547377;0;82;5;40,28611422362;
1;19/07AA005 00:00:00;11238;3;28;30;45,194030606557;1355,8209181967;1355,8209181967;0;82;5;40,28611422362;
1;19/07AA005 00:00:00;11238;4;65;34;10,753500685099;365,61902329337;365,61902329337;0;82;5;40,28611422362;
1;19/07AA005 00:00:00;11238;5;56;61;37,353751016149;2278,5788119851;2278,5788119851;0;82;5;40,28611422362;
1;21/07AA006 00:00:00;14938;2;70;36;29,213634211827;1051,6908316258;1051,6908316258;0;32;1;34,287234972767;
1;21/07AA006 00:00:00;14938;1;26;18;27,427564868145;493,69616762661;493,69616762661;0;32;1;34,287234972767;
1;21/07AA006 00:00:00;14938;3;52;54;72,506815058428;3915,3680131551;3915,3680131551;0;32;1;34,287234972767;
1;27/07AA006 00:00:00;12752;1;14;124;21,634884932157;2682,7257315875;2823,9218249384;0,050000000745058;77;1;27,128512985293;
1;29/09AA005 00:00:00;14507;2;64;7;30,255927370631;211,79149159442;211,79149159442;0;51;2;59,299925505212;
1;29/09AA005 00:00:00;14507;1;16;18;8,622334527667;155,20202149801;155,20202149801;0;51;2;59,299925505212;
1;29/09AA005 00:00:00;14507;3;12;17;8,8296852577912;150,10464938245;150,10464938245;0;51;2;59,299925505212;
1;29/09AA005 00:00:00;14507;4;74;33;28,381131185758;936,57732913;936,57732913;0;51;2;59,299925505212;
1;01/08AA006 00:00:00;10918;2;60;25;5,01;125,25;167;0,25;82;3;34,42;
1;01/08AA006 00:00:00;10918;1;1;60;19,45;1167;1556;0,25;82;3;34,42;
1;01/08AA006 00:00:00;11301;2;39;11;56,410583644176;620,51642008594;620,51642008594;0;82;3;32,672569589325;
1;01/08AA006 00:00:00;11301;1;77;21;10,747871086542;225,70529281738;225,70529281738;0;82;3;32,672569589325;
1;01/08AA006 00:00:00;11301;3;75;23;7,5190127433883;172,93729309793;172,93729309793;0;82;3;32,672569589325;
1;01/08AA005 00:00:00;16304;2;31;5;7,0771690027157;35,385845013578;37,248257938243;0,050000000745058;42;1;36,592903276048;
1;01/08AA005 00:00:00;16304;1;55;22;32,582550798217;716,81611756077;754,54328223468;0,050000000745058;42;1;36,592903276048;
1;01/08AA005 00:00:00;16304;3;17;14;23,106497237438;323,49096132413;340,51680166088;0,050000000745058;42;1;36,592903276048;
1;03/10AA003 00:00:00;10276;2;10;15;6,92;103,8;103,8;0;80;3;22,95;
1;03/10AA003 00:00:00;10276;1;13;10;27,45;274,5;274,5;0;80;3;22,95;
1;04/08AA006 00:00:00;13266;2;26;19;29,205376793926;554,9021590846;554,9021590846;0;32;5;34,676279078819;
1;04/08AA006 00:00:00;13266;1;52;56;77,206593588932;4323,5692409802;4323,5692409802;0;32;5;34,676279078819;
1;04/08AA006 00:00:00;13266;3;70;37;31,107216363465;1150,9670054482;1150,9670054482;0;32;5;34,676279078819;
1;04/08AA006 00:00:00;14861;2;64;32;31,975625973897;1023,2200311647;1023,2200311647;0;32;2;74,689094959139;
1;04/08AA006 00:00:00;14861;1;19;35;9,6464450712036;337,62557749213;375,13953116792;0,10000000149012;32;2;74,689094959139;
1;04/08AA006 00:00:00;14861;3;21;14;9,2283329009347;129,19666061309;143,55184536333;0,10000000149012;32;2;74,689094959139;
1;08/08AA005 00:00:00;13608;1;31;48;9,1823823695401;440,75435373792;463,95195166694;0,050000000745058;51;3;79,396544033708;
1;13/08AA005 00:00:00;12842;2;24;20;4,8839939322392;97,679878644785;108,5331986739;0,10000000149012;82;3;42,279278352982;
1;13/08AA005 00:00:00;12842;1;52;15;89,048782479497;1335,7317371925;1484,1463771156;0,10000000149012;82;3;42,279278352982;
1;13/08AA005 00:00:00;12842;3;19;12;10,742466463785;128,90959756542;143,23288642095;0,10000000149012;82;3;42,279278352982;
1;13/08AA005 00:00:00;12842;4;31;3;9,593973828888;28,781921486664;31,979912815909;0,10000000149012;82;3;42,279278352982;
1;20/08AA005 00:00:00;12279;2;33;13;24,327723831621;316,26040981107;316,26040981107;0;32;2;29,058848080466;
1;20/08AA005 00:00:00;12279;1;7;41;36,25131193181;1486,3037892042;1486,3037892042;0;32;2;29,058848080466;
1;20/08AA005 00:00:00;12279;3;17;91;24,387792285526;2219,2890979829;2219,2890979829;0;32;2;29,058848080466;
1;20/08AA005 00:00:00;12279;4;72;11;12,564318275179;138,20750102696;138,20750102696;0;32;2;29,058848080466;
1;20/08AA005 00:00:00;12279;5;40;38;16,689018776672;634,18271351352;634,18271351352;0;32;2;29,058848080466;
1;2BB08AA006 00:00:00;11300;2;31;22;7,1495963439225;157,2911195663;157,2911195663;0;80;5;28,60431271828;
1;2BB08AA006 00:00:00;11300;1;44;23;66,521577619332;1529,9962852446;1529,9962852446;0;80;5;28,60431271828;
1;2BB08AA006 00:00:00;11300;3;1;11;19,013593186141;209,14952504755;209,14952504755;0;80;5;28,60431271828;
1;2BB08AA006 00:00:00;14350;2;29;2;115,71494205035;231,4298841007;308,57317880093;0,25;32;1;66,999460850884;
1;2BB08AA006 00:00:00;14350;1;1;9;19,357878982727;174,22091084455;174,22091084455;0;32;1;66,999460850884;
1;2BB08AA005 00:00:00;12402;2;31;4;7,7730343135083;31,092137254033;32,72856555623;0,050000000745058;80;2;79,515160347275;
1;2BB08AA005 00:00:00;12402;1;16;18;7,7997764040365;140,39597527266;147,78523724502;0,050000000745058;80;2;79,515160347275;
1;2BB08AA005 00:00:00;12402;3;65;12;8,0761113394938;96,913336073925;102,01403805256;0,050000000745058;80;2;79,515160347275;
1;24/06AA006 00:00:00;10293;2;18;12;27,38;328,56;328,56;0;80;3;76,28;
1;24/06AA006 00:00:00;10293;1;75;6;7,6;45,6;45,6;0;80;3;76,28;
1;24/06AA006 00:00:00;10293;3;24;10;4,11;41,1;41,1;0;80;3;76,28;
1;24/06AA006 00:00:00;10293;4;63;5;21,06;105,3;105,3;0;80;3;76,28;
1;24/06AA006 00:00:00;11443;2;72;12;11,834513254638;142,01415905565;142,01415905565;0;32;5;27,601961723112;
1;24/06AA006 00:00:00;11443;1;33;14;22,914635226112;320,80489316556;320,80489316556;0;32;5;27,601961723112;
1;24/06AA006 00:00:00;11443;3;7;45;34,145635454218;1536,5535954398;1536,5535954398;0;32;5;27,601961723112;
1;24/06AA006 00:00:00;11443;4;17;100;22,971214572349;2297,1214572349;2297,1214572349;0;32;5;27,601961723112;
1;24/06AA006 00:00:00;11443;5;40;42;15,719628362933;660,2243912432;660,2243912432;0;32;5;27,601961723112;
1;24/06AA006 00:00:00;14377;2;53;71;59,470971632501;4222,4389859075;4691,5988809984;0,10000000149012;82;5;75,706638931949;
1;24/06AA006 00:00:00;14377;1;69;36;2,3100738755172;83,162659518619;92,402955173678;0,10000000149012;82;5;75,706638931949;
1;25/04AA006 00:00:00;11061;1;60;15;5,27;79,05;79,05;0;32;3;25,77;
1;25/04AA006 00:00:00;14318;1;63;10;19,333322999597;193,33322999597;193,33322999597;0;75;2;59,147751194538;
1;28/08AA006 00:00:00;14910;2;31;4;8,386841256975;33,5473650279;35,313015846537;0,050000000745058;80;4;79,968828498245;
1;28/08AA006 00:00:00;14910;1;65;12;8,7138511224993;104,56621346999;110,06969847579;0,050000000745058;80;4;79,968828498245;
1;28/08AA006 00:00:00;14910;3;16;18;8,415695068639;151,4825112355;159,45527510979;0,050000000745058;80;4;79,968828498245;
1;03/09AA005 00:00:00;10662;1;68;10;12,91;129,1;129,1;0;48;3;37,12;
1;05/04AA004 00:00:00;10302;2;43;12;10,82;129,84;129,84;0;32;3;48,81;
1;05/04AA004 00:00:00;10302;1;28;28;42,81;1198,68;1198,68;0;32;3;48,81;
1;05/04AA004 00:00:00;10302;3;17;40;25,65;1026;1026;0;32;3;48,81;
1;06/04AA006 00:00:00;14287;2;22;26;4,2438210694523;110,33934780576;110,33934780576;0;42;5;33,057945725981;
1;06/04AA006 00:00:00;14287;1;46;18;15,066172793843;271,19111028918;271,19111028918;0;42;5;33,057945725981;
1;06/04AA006 00:00:00;14287;3;13;18;29,5243482998;531,4382693964;531,4382693964;0;42;5;33,057945725981;
1;06/04AA005 00:00:00;10304;2;71;2;29,76;59,52;59,52;0;80;3;69,84;
1;06/04AA005 00:00:00;10304;1;59;10;7,91;79,1;79,1;0;80;3;69,84;
1;06/04AA005 00:00:00;10304;3;49;30;19,79;593,7;593,7;0;80;3;69,84;
1;08/09AA006 00:00:00;10305;2;18;25;27,56;689;765,55555682307;0,10000000149012;80;3;66,61;
1;08/09AA006 00:00:00;10305;1;29;25;113,94;2848,5;3165,0000052402;0,10000000149012;80;3;66,61;
1;08/09AA006 00:00:00;10305;3;39;30;57,25;1717,5;1908,3333364929;0,10000000149012;80;3;66,61;
1;08/09AA006 00:00:00;12514;2;68;24;15,981502168123;383,55605203494;383,55605203494;0;80;2;50,908592366046;
1;08/09AA006 00:00:00;12514;1;43;6;13,356055692877;80,136334157263;80,136334157263;0;80;2;50,908592366046;
1;08/09AA006 00:00:00;12514;3;11;18;30,626194433712;551,27149980682;551,27149980682;0;80;2;50,908592366046;
1;08/09AA006 00:00:00;12514;4;70;15;32,300217644992;484,50326467489;484,50326467489;0;80;2;50,908592366046;
1;11/12AA006 00:00:00;11081;1;75;150;7,05;1057,5;1175,0000019454;0,10000000149012;78;3;12,45;
1;11/12AA006 00:00:00;11543;2;55;22;36,713940109364;807,70668240601;807,70668240601;0;80;3;74,405448945715;
1;11/12AA006 00:00:00;11543;1;57;41;16,780755692178;688,01098337929;688,01098337929;0;80;3;74,405448945715;
1;11/12AA006 00:00:00;11543;3;70;29;26,00973226595;754,28223571255;887,39087176684;0,15000000596046;80;3;74,405448945715;
1;11/12AA006 00:00:00;14492;2;68;37;11,654502991785;431,21661069604;539,02076537806;0,20000000298023;51;4;69,044008264685;
1;11/12AA006 00:00:00;14492;1;38;60;80,241066924269;4814,4640154562;6018,0800417393;0,20000000298023;51;4;69,044008264685;
1;11/12AA006 00:00:00;14492;3;35;73;5,1663331952401;377,14232325253;471,42790582186;0,20000000298023;51;4;69,044008264685;
1;1BB09AA004 00:00:00;10307;2;62;10;27,27;272,7;272,7;0;48;3;60,66;
1;1BB09AA004 00:00:00;10307;1;68;3;12,82;38,46;38,46;0;48;3;60,66;
1;1BB09AA004 00:00:00;13746;2;20;49;91,865353676479;4501,4023301475;4501,4023301475;0;82;1;38,397871299194;
1;1BB09AA004 00:00:00;13746;1;65;49;11,479255826892;562,48353551769;562,48353551769;0;82;1;38,397871299194;
1;1BB09AA004 00:00:00;13746;3;75;62;7,6911014040174;476,84828704908;476,84828704908;0;82;1;38,397871299194;
1;1BB09AA004 00:00:00;13746;4;56;87;39,874760467775;3469,1041606965;3469,1041606965;0;82;1;38,397871299194;
1;1BB09AA004 00:00:00;13746;5;28;44;48,244181534291;2122,7439875088;2122,7439875088;0;82;1;38,397871299194;
1;1BB09AA005 00:00:00;13811;2;75;26;9,3119656455745;242,11110678494;242,11110678494;0;45;3;69,247388571036;
1;1BB09AA005 00:00:00;13811;1;15;12;8,3890516425823;100,66861971099;100,66861971099;0;45;3;69,247388571036;
1;1BB09AA005 00:00:00;13963;2;22;42;3,6169922286081;151,91367360154;151,91367360154;0;51;5;77,574399348895;
1;1BB09AA005 00:00:00;13963;1;21;44;10,109880418801;444,83473842723;444,83473842723;0;51;5;77,574399348895;
1;1BB09AA005 00:00:00;16233;2;65;17;11,012808594579;187,21774610785;208,01971824202;0,10000000149012;82;2;19,643892060181;
1;1BB09AA005 00:00:00;16233;1;66;11;23,128058513168;254,40864364485;282,67627118452;0,10000000149012;82;2;19,643892060181;
1;1BB09AA005 00:00:00;16233;3;69;11;2,1700687114713;23,870755826185;26,523062073008;0,10000000149012;82;2;19,643892060181;
1;13/03AA005 00:00:00;11288;2;31;6;7,7363118095988;46,417870857593;48,860916730523;0,050000000745058;42;4;34,373153434361;
1;13/03AA005 00:00:00;11288;1;55;25;35,617175798737;890,42939496843;937,29410070186;0,050000000745058;42;4;34,373153434361;
1;13/03AA005 00:00:00;11288;3;17;16;25,25855570043;404,13689120688;425,40725423562;0,050000000745058;42;4;34,373153434361;
1;15/04AA004 00:00:00;10310;2;16;10;8,53;85,3;85,3;0;32;3;37,33;
1;15/04AA004 00:00:00;10310;1;62;5;32,19;160,95;160,95;0;32;3;37,33;
1;15/04AA004 00:00:00;11991;2;47;36;32,191381317077;1158,8897274148;1545,1863032197;0,25;32;3;61,248200950214;
1;15/04AA004 00:00:00;11991;1;40;60;21,349600799395;1280,9760479637;1707,9680639516;0,25;32;3;61,248200950214;
1;15/04AA004 00:00:00;11991;3;17;60;30,259182808975;1815,5509685385;2420,734624718;0,25;32;3;61,248200950214;
1;15/09AA006 00:00:00;11438;1;77;4;14,547831392381;58,191325569523;77,588434092697;0,25;82;3;44,768563507466;
1;15/09AA006 00:00:00;11480;2;43;19;15,891443617676;301,93742873584;301,93742873584;0;32;1;26,607851962312;
1;15/09AA006 00:00:00;11480;1;46;20;15,77013488777;315,4026977554;350,44744253067;0,10000000149012;32;1;26,607851962312;
1;15/09AA006 00:00:00;11480;3;18;4;31,491746283578;125,96698513431;139,96331704764;0,10000000149012;32;1;26,607851962312;
1;15/09AA006 00:00:00;16077;1;60;17;4,8789463383532;82,942087752004;82,942087752004;0;32;5;27,075636045297;
1;18/09AA005 00:00:00;16393;1;1;20;19,680525953142;393,61051906285;393,61051906285;0;48;2;25,346137831936;
1;19/04AA005 00:00:00;15466;2;62;11;28,698193384389;315,68012722828;350,75569750105;0,10000000149012;32;2;47,146699880178;
1;19/04AA005 00:00:00;15466;1;33;21;25,938751712813;544,71378596907;605,23754096771;0,10000000149012;32;2;47,146699880178;
1;25/04AA004 00:00:00;10317;1;1;20;18,12;362,4;362,4;0;48;3;24,58;
1;26/09AA006 00:00:00;12508;2;64;34;35,987732192794;1223,582894555;1223,582894555;0;42;4;69,924293202817;
1;26/09AA006 00:00:00;12508;1;57;27;21,92486877506;591,97145692662;591,97145692662;0;42;4;69,924293202817;
1;26/09AA006 00:00:00;12508;3;22;58;4,0277133089627;233,60737191984;233,60737191984;0;42;4;69,924293202817;
1;26/09AA006 00:00:00;12508;4;60;67;5,3020180846797;355,23521167354;355,23521167354;0;42;4;69,924293202817;
1;26/09AA006 00:00:00;12508;5;35;7;7,2589861331023;50,812902931716;50,812902931716;0;42;4;69,924293202817;
1;26/09AA006 00:00:00;12539;1;53;3;57,408233722645;172,22470116793;172,22470116793;0;48;3;38,341297309535;
1;26/09AA006 00:00:00;14262;2;60;22;4,8964565945435;107,72204507996;143,62939343994;0,25;82;5;31,875891336605;
1;26/09AA006 00:00:00;14262;1;1;53;19,00919775726;1007,4874811348;1343,316641513;0,25;82;5;31,875891336605;
1;27/01AA005 00:00:00;10319;2;17;8;26,23;209,84;209,84;0;80;3;54,41;
1;27/01AA005 00:00:00;10319;1;28;14;48,77;682,78;682,78;0;80;3;54,41;
1;27/01AA005 00:00:00;10319;3;76;30;403,97;12119,1;12119,1;0;80;3;54,41;
1;28/04AA006 00:00:00;12665;2;41;36;11,112650047428;400,0554017074;533,40720227653;0,25;80;2;53,28651416195;
1;28/04AA006 00:00:00;12665;1;29;51;138,22731106425;7049,5928642767;9399,4571523689;0,25;80;2;53,28651416195;
1;29/09AA006 00:00:00;14175;2;38;7;76,654556961397;536,58189872978;536,58189872978;0;32;1;85,68125955267;
1;29/09AA006 00:00:00;14175;1;19;2;9,0092542776994;18,018508555399;18,018508555399;0;32;1;85,68125955267;
1;29/09AA006 00:00:00;14175;3;35;7;5,0358963455128;35,25127441859;35,25127441859;0;32;1;85,68125955267;
1;29/09AA006 00:00:00;14175;4;43;8;11,303980094715;90,43184075772;90,43184075772;0;32;1;85,68125955267;
1;29/09AA006 00:00:00;14186;2;70;12;26,717804906954;320,61365888345;320,61365888345;0;80;4;49,948911845141;
1;29/09AA006 00:00:00;14186;1;43;5;11,047742595754;55,238712978769;55,238712978769;0;80;4;49,948911845141;
1;29/09AA006 00:00:00;14186;3;68;20;13,219435910338;264,38871820677;264,38871820677;0;80;4;49,948911845141;
1;29/09AA006 00:00:00;14186;4;11;15;25,333101371508;379,99652057262;379,99652057262;0;80;4;49,948911845141;
1;10/12AA003 00:00:00;10329;2;38;20;77,36;1547,2;1628,6315802247;0,050000000745058;75;3;75,98;
1;10/12AA003 00:00:00;10329;1;30;8;24,61;196,88;207,24210542569;0,050000000745058;75;3;75,98;
1;10/12AA003 00:00:00;10329;3;56;12;40,13;481,56;506,90526355545;0,050000000745058;75;3;75,98;
1;10/12AA003 00:00:00;10329;4;19;10;8,5;85;89,473684280698;0,050000000745058;75;3;75,98;
1;10/10AA005 00:00:00;10707;2;55;21;41,81;878,01;878,01;0;80;3;76,35;
1;10/10AA005 00:00:00;10707;1;57;40;19,11;764,4;764,4;0;80;3;76,35;
1;10/10AA005 00:00:00;10707;3;70;28;29,62;829,36;975,71765390086;0,15000000596046;80;3;76,35;
1;10/10AA005 00:00:00;12910;2;20;37;75,853790216521;2806,5902380113;2806,5902380113;0;82;2;42,777918581391;
1;10/10AA005 00:00:00;12910;1;65;37;9,478492472813;350,70422149408;350,70422149408;0;82;2;42,777918581391;
1;10/10AA005 00:00:00;12910;3;75;48;6,3505899567847;304,82831792567;304,82831792567;0;82;2;42,777918581391;
1;10/10AA005 00:00:00;12910;4;28;33;39,835518819831;1314,5721210544;1314,5721210544;0;82;2;42,777918581391;
1;10/10AA005 00:00:00;12910;5;56;67;32,924836126017;2205,9640204431;2205,9640204431;0;82;2;42,777918581391;
1;10/10AA005 00:00:00;15605;1;35;4;5,2194853111389;20,877941244556;20,877941244556;0;32;5;71,404970182459;
1;10/10AA005 00:00:00;16186;2;19;12;8,8596708610772;106,31605033293;118,12894500995;0,10000000149012;82;1;39,742224823355;
1;10/10AA005 00:00:00;16186;1;31;3;7,9124706286294;23,737411885888;26,3749021391;0,10000000149012;82;1;39,742224823355;
1;10/10AA005 00:00:00;16186;3;24;20;4,027992907682;80,559858153639;89,510953652246;0,10000000149012;82;1;39,742224823355;
1;10/10AA005 00:00:00;16186;4;52;15;73,441504891607;1101,6225733741;1224,0250835534;0,10000000149012;82;1;39,742224823355;
1;1BB10AA006 00:00:00;10332;2;42;10;15,13;151,3;189,12500070455;0,20000000298023;51;3;22,5;
1;1BB10AA006 00:00:00;10332;1;47;16;24,57;393,12;491,40000183061;0,20000000298023;51;3;22,5;
1;1BB10AA006 00:00:00;10332;3;18;40;24,82;992,8;1241,0000046231;0,20000000298023;51;3;22,5;
1;1BB10AA006 00:00:00;13170;1;68;10;13,303145106498;133,03145106498;133,03145106498;0;48;1;34,80532372569;
1;13/04AA006 00:00:00;11079;2;57;15;19;285;285;0;55;3;49,5;
1;13/04AA006 00:00:00;11079;1;13;10;25,5;255;268,42105284209;0,050000000745058;55;3;49,5;
1;15/07AA005 00:00:00;10605;2;71;15;32,29;484,35;509,84210566301;0,050000000745058;51;3;56,22;
1;15/07AA005 00:00:00;10605;1;60;70;5,44;380,8;400,84210557753;0,050000000745058;51;3;56,22;
1;15/07AA005 00:00:00;10605;3;59;20;7,95;159;167,36842118389;0,050000000745058;51;3;56,22;
1;15/07AA005 00:00:00;10605;4;16;30;9,46;283,8;298,73684233955;0,050000000745058;51;3;56,22;
1;15/07AA005 00:00:00;11235;2;8;10;25,160425503395;251,60425503395;296,00500799798;0,15000000596046;82;1;27,772599766028;
1;15/07AA005 00:00:00;11235;1;4;15;27,324886322759;409,87329484138;482,20387966535;0,15000000596046;82;1;27,772599766028;
1;15/07AA005 00:00:00;11235;3;7;51;48,648833654267;2481,0905163676;2918,9300397244;0,15000000596046;82;1;27,772599766028;
1;23/10AA003 00:00:00;10339;2;17;70;24,46;1712,2;1802,3157908872;0,050000000745058;51;3;58,76;
1;23/10AA003 00:00:00;10339;1;4;10;21,32;213,2;213,2;0;51;3;58,76;
1;23/10AA003 00:00:00;10339;3;62;28;30,61;857,08;857,08;0;51;3;58,76;
1;23/05AA005 00:00:00;10340;2;41;12;9,13;109,56;115,32631587992;0,050000000745058;32;3;63,37;
1;23/05AA005 00:00:00;10340;1;43;40;11,93;477,2;502,31578986764;0,050000000745058;32;3;63,37;
1;23/05AA005 00:00:00;10340;3;18;20;24,3;486;511,57894776964;0,050000000745058;32;3;63,37;
1;23/05AA005 00:00:00;11377;1;1;22;22,273474262021;490,01643376446;490,01643376446;0;48;4;24,447928579092;
1;24/10AA006 00:00:00;14778;2;71;10;26,400499064768;264,00499064768;264,00499064768;0;32;1;34,760768711396;
1;24/10AA006 00:00:00;14778;1;27;55;38,51465211664;2118,3058664152;2118,3058664152;0;32;1;34,760768711396;
1;26/01AA004 00:00:00;13609;2;39;18;62,096814987734;1117,7426697792;1314,991385432;0,15000000596046;32;2;52,834216702237;
1;26/01AA004 00:00:00;13609;1;28;18;42,775959203661;769,9672656659;905,84384831195;0,15000000596046;32;2;52,834216702237;
1;0BB05AA006 00:00:00;14462;2;62;12;29,181838405349;350,18206086418;350,18206086418;0;36;2;29,407426086917;
1;0BB05AA006 00:00:00;14462;1;13;12;29,586685807298;355,04022968757;355,04022968757;0;36;2;29,407426086917;
1;0BB05AA006 00:00:00;16156;2;19;24;10,873521713377;260,96452112104;260,96452112104;0;32;5;22,184219852977;
1;0BB05AA006 00:00:00;16156;1;57;24;21,723858945488;521,37261469171;521,37261469171;0;32;5;22,184219852977;
1;0BB05AA006 00:00:00;16156;3;53;12;64,12827517953;769,53930215436;769,53930215436;0;32;5;22,184219852977;
1;0BB11AA005 00:00:00;16378;2;43;14;11,340126752566;158,76177453592;158,76177453592;0;32;1;52,704870548018;
1;0BB11AA005 00:00:00;16378;1;28;33;44,867913704005;1480,6411522322;1480,6411522322;0;32;1;52,704870548018;
1;0BB11AA005 00:00:00;16378;3;17;47;26,883017671286;1263,5018305504;1263,5018305504;0;32;1;52,704870548018;
1;06/11AA003 00:00:00;10351;2;38;20;75,04;1500,8;1579,7894749232;0,050000000745058;42;3;65,12;
1;06/11AA003 00:00:00;10351;1;65;10;10,08;100,8;106,10526324111;0,050000000745058;42;3;65,12;
1;06/11AA003 00:00:00;10351;3;41;13;10,42;135,46;135,46;0;42;3;65,12;
1;06/11AA003 00:00:00;10351;4;44;77;73,74;5677,98;5976,821057319;0,050000000745058;42;3;65,12;
1;07/12AA006 00:00:00;16514;1;68;9;15,792864938102;142,13578444292;142,13578444292;0;48;5;40,385687832417;
1;07/12AA006 00:00:00;16631;2;62;22;27,68211820988;609,00660061737;609,00660061737;0;82;1;32,580187488737;
1;07/12AA006 00:00:00;16631;1;16;22;8,7908810722743;193,39938359003;193,39938359003;0;82;1;32,580187488737;
1;08/11AA006 00:00:00;11454;2;56;17;35,663237906977;606,27504441861;606,27504441861;0;51;3;35,248840411131;
1;08/11AA006 00:00:00;11454;1;68;13;10,570377966178;137,41491356032;137,41491356032;0;51;3;35,248840411131;
1;08/11AA006 00:00:00;11454;3;6;60;3,3177098725962;199,06259235577;199,06259235577;0;51;3;35,248840411131;
1;08/11AA006 00:00:00;14900;2;71;9;33,773881308217;303,96493177396;303,96493177396;0;32;4;19,476373143244;
1;08/11AA006 00:00:00;14900;1;35;24;7,4624626933536;179,09910464049;179,09910464049;0;32;4;19,476373143244;
1;08/11AA006 00:00:00;15838;2;70;7;27,485867332642;192,4010713285;192,4010713285;0;82;4;72,626518669716;
1;08/11AA006 00:00:00;15838;1;62;3;26,847297563879;80,541892691636;80,541892691636;0;82;4;72,626518669716;
1;13/01AA005 00:00:00;11961;2;71;54;28,660568523866;1547,6707002888;1547,6707002888;0;82;4;39,004964443953;
1;13/01AA005 00:00:00;11961;1;30;16;24,586410708035;393,38257132856;393,38257132856;0;82;4;39,004964443953;
1;13/01AA005 00:00:00;11961;3;65;18;8,544414308201;153,79945754762;153,79945754762;0;82;4;39,004964443953;
1;13/01AA005 00:00:00;11961;4;56;63;37,780269005136;2380,1569473236;2380,1569473236;0;82;4;39,004964443953;
